Entity,Year,all_species_number,bau_habitat_loss_all,combined_habitat_loss_all,diets_habitat_loss_all,waste_habitat_loss_all,trade_habitat_loss_all,yields_habitat_loss_all,amphibian_species_number,bau_habitat_loss_amphibians,combined_habitat_loss_amphibians,diets_habitat_loss_amphibians,waste_habitat_loss_amphibians,trade_habitat_loss_amphibians,yields_habitat_loss_amphibians,bird_species_number,bau_habitat_loss_birds,combined_habitat_loss_birds,diets_habitat_loss_birds,waste_habitat_loss_birds,trade_habitat_loss_birds,yields_habitat_loss_birds,mammal_species_number,bau_habitat_loss_mammals,combined_habitat_loss_mammals,diets_habitat_loss_mammals,waste_habitat_loss_mammals,trade_habitat_loss_mammals,yields_habitat_loss_mammals,bau_change_cropland_km2,combined_change_cropland_km2,diets_change_cropland_km2,yields_change_cropland_km2,waste_change_cropland_km2,trade_change_cropland_km2,countries_losing_25_species,bau_change_pct,combined_change_pct,diets_change_pct,yields_change_pct,waste_change_pct,trade_change_pct,species_losing_more_25pct,species_losing_more_25pct_yields,species_losing_more_25pct_combined
Bangladesh,2050,824,-2.966318192,5.002791709,1.471625713,-0.248477694,-3.198896651,1.893922615,32,-5.744709329,10.98102395,4.325736077,-0.885762337,-6.448021614,5.125071183,661,-2.734099398,4.416428871,1.100999742,-0.30863447,-2.932066735,1.482519875,131,-3.459357177,6.501130672,2.644543542,0.210734045,-3.751588068,3.180490986,54049.5632,-20374.6745,26767.0253,-25184.5925,36871.8534,70746.7911,,35.9892853,-13.56662164,17.82301379,-16.76933968,24.55138531,47.10725302,,,
Barbados,2050,289,-4.483365026,3.615308487,0.698182688,-2.044928328,-4.679733209,-2.158675559,2,0,0,0,0,0,0,277,-4.573889998,3.47862048,0.52303324,-2.119439766,-4.741391461,-2.185567792,10,-2.872496313,8.12462799,5.689458916,-0.389947154,-3.907746272,-1.845495806,,,,,,,,,,,,,,,,
Belarus,2050,394,-0.073454249,6.159747945,3.407112151,2.123328495,-0.69528052,2.78248867,8,1.735331351,5.810936526,4.84023821,3.339861434,0.791908191,2.694652632,312,-0.927994057,5.164730135,2.182233848,1.084588667,-1.279109807,2.179965335,74,3.33392596,10.39266751,8.416531365,6.371363132,1.60549283,5.332353112,-4837.59129,-16327.73197,-14515.95944,-10581.02666,-8456.675,-2438.3358,,-14.15160159,-47.76417516,-42.46412365,-30.95310553,-24.73865364,-7.132962402,,,
Belgium,2050,508,-0.753615281,5.286383345,2.529683602,1.401644093,-1.322811116,1.868639812,11,0.38315913,11.74516709,8.137125675,5.717399269,-2.096336121,1.588115085,430,-1.279909349,4.199301889,1.48991362,0.527190239,-1.570974228,1.385759232,67,2.437458312,11.20277745,8.282209412,6.3052538,0.396874155,5.013780431,941.590781,-1839.693121,-1082.6388,941.590781,-156.907034,1551.514894,,14.44448167,-28.22182852,-16.60823004,14.44448167,-2.407033737,23.80102789,,,
Belize,2050,740,-4.433558334,3.763061041,1.317048312,-2.210961696,-4.824383357,-1.451879771,28,-4.41610503,4.616314371,1.934227376,-2.337818877,-4.971718841,0.076547808,583,-4.230030845,3.491804913,1.147191433,-2.041764855,-4.583860852,-1.616736999,129,-5.357164677,4.803768245,1.950734719,-2.948091597,-5.879416123,-1.038579058,262.742273,-176.592038,-125.605526,262.742278,160.877384,347.49125,,33.95200552,-22.81952493,-16.23096072,33.95200617,20.78885049,44.90341316,,,
Benin,2050,740,-14.59131571,2.86788048,-10.75966676,-11.27532231,-11.75609415,-0.792827378,31,-29.41918695,5.144226611,-22.43305681,-22.83473265,-22.9475902,-2.894623326,547,-11.04044588,2.396437851,-8.04049418,-8.551660328,-9.122085399,-0.541727475,162,-23.74354897,4.024129787,-17.70727361,-18.25989875,-18.50835593,-1.238481529,24839.24901,-8067.01109,15059.97098,1078.34559,16507.07694,14736.22204,211,96.74154853,-31.41862882,58.65414501,4.199838014,64.2901959,57.39323838,,,
Bermuda,2050,278,-3.113908608,3.064815998,0.837241468,-0.922715206,-3.312698243,-1.626301725,1,0,0,0,0,0,0,275,-3.093948926,3.035898576,0.823968712,-0.92871418,-3.290421967,-1.590323401,2,-7.415319206,8.573369402,3.080866149,-0.559213911,-8.032035267,-7.38647213,,,,,,,,,,,,,,,,
Bhutan,2050,808,-1.71345776,4.759010102,1.890039523,0.627281492,-1.986776904,2.156093661,29,-4.998795321,9.923406213,3.722346768,-0.558905347,-5.85583359,5.63915252,663,-1.54056148,4.279867642,1.630292522,0.588881051,-1.775894508,1.742051857,116,-1.880315043,6.206458065,2.916551171,1.143306586,-2.224814699,3.651792017,77.544003,-589.335013,-163.359924,-373.572466,-73.56426,121.535179,,6.233268138,-47.37288529,-13.13146304,-30.0291094,-5.913361965,9.769438378,,,
Bolivia,2050,1973,-3.9190972,0.867805158,-0.382842963,-2.614390022,-4.03286051,-1.91738621,177,-3.52717168,0.287079977,-0.696590992,-2.447477487,-3.648164838,-1.789003536,1442,-4.049338532,0.915798873,-0.384579961,-2.705752981,-4.149795353,-1.997459566,354,-3.584528883,0.962667927,-0.218893379,-2.32568418,-3.748880537,-1.655403029,13297.68309,-1228.66559,3433.3606,5321.00159,6725.71235,16516.27226,25,51.00672285,-4.712866505,13.16954776,20.41008584,25.79821939,63.35245892,,,
"Bonaire, Sint Eustatius and Saba",2050,149,-4.013294123,2.825161736,0.672286685,-1.855843806,-4.202517156,-2.416502915,2,0,0,0,0,0,0,139,-4.133129764,2.761167344,0.553088256,-1.932334101,-4.331783437,-2.50052089,8,-2.934473391,4.64335473,2.911431069,-0.990785883,-3.007144811,-1.560816342,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2050,407,-0.240055211,6.472549972,3.269152998,2.301418404,-1.03606693,2.933820663,10,1.9319083,9.820993887,7.604807314,5.46187081,-0.063666344,3.458270761,317,-1.179832356,4.742854955,1.66668303,0.777421885,-1.517262807,1.947083716,80,3.212316284,12.90791099,9.076983459,7.94519806,0.74912166,6.778209553,,,,,,,,,,,,,,,,
Botswana,2050,773,-9.762958566,3.206591183,-6.246573831,-7.30871945,-7.664159853,1.012434508,33,-4.843944598,2.02913841,-3.066926728,-3.518608945,-3.292944465,1.180844885,578,-8.510389726,2.925005973,-5.34930394,-6.298769574,-6.747947693,0.898696876,162,-15.23402184,4.451110894,-10.09565007,-11.68418041,-11.82354711,1.383933329,-165.361101,-128.907477,-40.426855,-165.361099,-309.516658,-88.319569,113,-14.92841481,-11.6374666,-3.649642252,-14.92841463,-27.94244254,-7.973284855,,,
Bouvet Island,2050,33,-1.62110724,-1.24930762,-1.398825285,-1.493241908,-1.62626883,-1.478790794,,,,,,,,33,-1.62110724,-1.24930762,-1.398825285,-1.493241908,-1.62626883,-1.478790794,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2050,2963,-6.27383901,0.845498085,-0.69025478,-4.69890438,-6.374202298,-3.531286988,554,-8.989378322,0.998986848,-0.869625657,-7.028616367,-9.049355973,-5.21399703,1850,-5.263977803,0.716104134,-0.683188864,-3.867610173,-5.361280166,-2.956361559,559,-6.924705652,1.121609062,-0.535872809,-5.14118317,-7.075223425,-3.766332931,376869.2159,-39457.5083,31482.8329,219354.4904,298718.9483,376869.2159,133,56.4959713,-5.915023468,4.719550308,32.88314479,44.78056689,56.4959713,,,
British Indian Ocean Territory,2050,60,-4.426011172,0.794568212,-2.464247284,-2.984687261,-4.107655773,-0.958142197,,,,,,,,60,-4.426011172,0.794568212,-2.464247284,-2.984687261,-4.107655773,-0.958142197,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,
British Virgin Islands,2050,195,-4.347174865,3.921550456,1.283930257,-1.67960394,-4.623756908,-2.540696371,5,1.102575855,9.777514063,8.313796294,3.716451094,-0.26382196,2.411515424,184,-4.479411602,3.652365337,0.993324483,-1.827140748,-4.708196982,-2.733280569,6,-4.833373857,7.296591076,4.337618957,-1.651854371,-5.667540428,-0.761624113,,,,,,,,,,,,,,,,
Brunei,2050,667,-3.492551777,1.971236344,-1.090249068,-0.750134485,-3.541737329,-2.163943562,62,-5.5847533,0.451876454,-3.189125125,-1.803566244,-5.625751329,-5.390185188,466,-2.909024435,2.528767186,-0.443727993,-0.449447534,-2.954044842,-1.13903498,139,-4.515625495,0.77980426,-2.321533281,-1.288316861,-4.58242676,-4.160924992,0,0,0,0,0,0,,0,0,0,0,0,0,,,
Bulgaria,2050,511,-0.3255767,6.564759677,3.276208876,2.204748411,-1.081002751,3.025270127,11,2.281981209,9.389061532,7.170190972,5.409594269,0.554087769,4.16466887,405,-1.402041603,4.583293261,1.439678594,0.543093444,-1.694471581,1.825565404,95,3.961635394,14.68503944,10.65474531,8.917558489,1.344985465,8.007870405,-5910.96475,-12455.10052,-9339.3261,-11227.95616,-9173.10138,-4206.48519,,-22.08939632,-46.54496571,-34.90125289,-41.9591021,-34.28006771,-15.7197213,,,
Burkina Faso,2050,634,-14.3763556,3.095129018,-10.85922971,-11.37064995,-12.11107568,-0.970228153,21,-26.019776,3.205214317,-21.7658495,-21.70969826,-21.89785642,-3.542915557,480,-11.69204806,3.018114737,-8.574260602,-9.06287065,-9.92696993,-0.492664358,133,-22.22564726,3.355693407,-17.38363688,-18.0669962,-18.44828142,-2.28755286,35451.27234,-2281.58869,38533.33289,3510.21446,23054.22779,18759.59704,188,73.84588998,-4.752606501,80.26589946,7.311864814,48.02253506,39.07671143,,,
Burundi,2050,825,-13.44981937,2.885552558,-9.198075228,-10.62262782,-10.91615866,0.649427188,30,-29.39139918,9.559025859,-19.39006247,-25.41790936,-25.93621775,5.808068649,634,-11.1157606,2.57108001,-7.696807269,-8.613276825,-8.901592233,0.455367005,161,-19.67060111,2.880405953,-13.21077255,-15.77834266,-16.05052723,0.452376956,26295.24546,-5462.793581,16333.69099,-1766.43395,19043.52389,18556.72406,199,212.1035693,-44.06416433,131.7513527,-14.24846733,153.6094955,149.6828548,,,
Cambodia,2050,747,-2.095739199,3.799645538,0.870946401,0.288042434,-2.366634564,0.838321744,49,-0.826178063,5.185223787,2.497533447,1.738379432,-1.179161054,0.754389342,542,-2.196051649,3.978690902,0.8987278,0.1897479,-2.441911903,1.038930859,156,-2.145990146,2.74236399,0.263508686,0.17399836,-2.478082538,0.167697046,6616.54215,-3133.3935,10673.00622,-7103.81951,-73.17391,9357.67475,,24.58622028,-11.64328755,39.65951944,-26.39688033,-0.271904845,34.77191674,,,
Cameroon,2050,1395,-13.9027989,2.270705622,-9.915705413,-10.57514127,-10.91403216,-1.077858283,133,-24.3159081,1.67655718,-17.36841891,-18.49055009,-17.85449607,-4.664115333,947,-10.12252414,2.066021878,-7.131457834,-7.690880992,-8.253704423,-0.35678397,315,-20.87097881,3.136919107,-15.13942466,-15.90417337,-15.98148825,-1.731462049,83892.19671,-797.83286,59890.43311,21045.1326,63537.76781,57832.35281,303,180.7747822,-1.719207115,129.0546728,45.34902423,136.9141182,124.6198263,,,
Canada,2050,803,-3.165607634,3.36057095,1.13341004,-0.660849019,-3.395310234,-2.268127528,38,-6.24262391,8.008211478,2.726025936,-0.499169905,-6.641271109,-6.212336097,616,-2.981586628,2.971433764,0.936567464,-0.78470535,-3.167401323,-1.869987521,149,-3.141650057,3.784048575,1.541031671,-0.190032283,-3.509708726,-2.908223628,51033.7635,-35040.2728,-15377.6929,51033.7632,11847.946,75310.7379,,20.75304441,-14.24923987,-6.25338838,20.75304429,4.818005426,30.62535429,,,
Cape Verde,2050,152,-3.587872317,2.17572164,-1.38258874,-2.033243658,-3.382651356,0.131680248,,,,,,,,150,-3.492544032,2.131824522,-1.300197004,-1.948992278,-3.333854939,0.115507034,2,-10.73749371,5.468005425,-7.561968949,-8.352097172,-7.042382675,1.344671242,,,,,,,,,,,,,,,,
Cayman Islands,2050,271,-4.875532293,4.01055171,1.267183259,-2.078361609,-5.102026154,-3.22009227,2,-6.163930394,8.400424906,2.870438468,-0.323552415,-6.162819224,-6.164042825,265,-4.788676011,3.902203735,1.198211163,-2.046919429,-5.019373935,-3.144212696,4,-9.985561906,8.993668428,5.034957045,-5.038810635,-10.04733913,-6.775138753,,,,,,,,,,,,,,,,
